,n,insertion,quick,merge
,10,23,15,20
,20,96,39,52
,30,234,100,81
,40,395,180,120
,50,602,213,166
,60,943,209,189
,70,1207,248,239
,80,1534,317,286
,90,1979,391,331
,100,2360,475,376
,110,2867,425,419
,120,3512,626,450
,130,4241,754,498
,140,4979,663,552
,150,5822,689,612
,160,6504,695,658
,170,7340,846,706
,180,8345,935,759
,190,9311,845,797
,200,10244,986,861
,210,11338,1131,909
,220,12636,1163,953
,230,13845,1223,1008
,240,14813,1455,1048
,250,16058,1262,1096
,260,17162,1326,1127
,270,18444,1903,1223
,280,20408,1423,1253
,290,21370,1767,1321
,300,22319,1625,1390
,310,23581,1739,1471
,320,25256,1794,1494
,330,26616,1903,1553
,340,28276,1992,1599
,350,30319,1883,1656
,360,31525,2032,1725
,370,33571,2228,1714
,380,36650,2409,1817
,390,38847,2170,1853
,400,41293,2350,1931
,410,42961,2336,1954
,420,44522,2541,2052
,430,45914,2825,2110
,440,47479,2755,2144
,450,49862,2812,2173
,460,51971,3127,2233
,470,54211,2768,2303
,480,55996,2865,2344
,490,58067,3057,2387
,500,60278,2691,2459
,510,62484,3626,2502
,520,65888,3508,2575
,530,69002,3091,2631
,540,71952,3180,2696
,550,74981,3293,2772
,560,77296,4222,2822
,570,80746,4073,2883
,580,84022,3200,2961
,590,87449,3842,2991
,600,89948,3868,3058
,610,93453,4131,3131
,620,96038,3732,3167
,630,98225,4508,3234
,640,101575,3841,3284
,650,104186,4235,3355
,660,108058,3871,3423
,670,111406,4293,3504
,680,115170,4751,3565
,690,117923,5090,3586
,700,120394,4761,3653
,710,122906,5190,3685
,720,129347,4741,3769.75
,730,134071,4978,3806
,740,136969,4539,3892
,750,140465,4969,3929
,760,144590,4403,3997
,770,148024,4675,4030
,780,152016,5142,4083
,790,155422,5077,4174
,800,160480,5518,4285
,810,164419,6187,4313
,820,168424,6012,4376
,830,172065,6500,4424
,840,176172,5151,4459
,850,180052,5766,4536
,860,184900,6312,4635
,870,189435,5675,4662
,880,194653,5993,4712
,890,206962,6877,4762
,900,213600,7667,4829
,910,218000,7050,4876
,920,224151,7149,4917
,930,229587,6325,5040
,940,234824,7088,5051
,950,240485,6713,5130
,960,245723,6398,5157
,970,249065,8973,5223
,980,253823,7999,5273
,990,260591,6248,5360
,1000,264751,6895,5385
